Comment,Designator,Footprint,LCSC,Quantity
5.1K,"R1,R2",R_01005_0402Metric,C105872,2
10uF,"C3,C4",C_0402_1005Metric,C105884,2
Conn_01x04_Pin,J1,PinHeader_1x04_P2.54mm_Vertical,C2691448,1
USB_C_Receptacle,J2,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
HDMI_A_1.4,J7,HDMI-SMD_HDMI-19PIN-043,C2858275,1
Conn_01x03_Pin,J3,PinHeader_1x03_P2.54mm_Vertical,C2937625,1
D_TVS,D1,D_SOD-523,C314264,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,C347222,1
Conn_01x02_Pin,J4,PinHeader_1x02_P2.54mm_Vertical,C492401,1
472720001,"J5,J6",CONN_47272-0001_MOL,C587824,2
100nF,"C1,C2",C_01005_0402Metric,C60474,2
10K,R3,R_0402_1005Metric,C60490,1
SN65MLVD200ADR,U1,SOIC-8_3.9x4.9mm_P1.27mm,C695776,1
D_Schottky,D2,D_SOD-523,C727120,1
RaspberryPi_Pico,A1,RaspberryPi_Pico_SMD,,1
