pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
119.887,-112,-90,top,C1,,,C_0402_1005Metric,100n,smt
111.5,-89.4,180,top,C10,,,C_0603_1608Metric,10uF,smt
141.765,-80.348667,180,top,C11,,,C_0603_1608Metric,100nF,smt
121.207,-112,-90,top,C2,,,C_0402_1005Metric,1n,smt
119.887,-105,-90,top,C3,,,C_0402_1005Metric,100n,smt
123.847,-105,-90,top,C4,,,C_0402_1005Metric,100n,smt
134.413,-112,-90,top,C5,,,C_0402_1005Metric,100n,smt
133.093,-112,-90,top,C6,,,C_0402_1005Metric,1n,smt
109,-81.375,-90,top,C7,,,C_0603_1608Metric,10uF,smt
134.413,-105,-90,top,C8,,,C_0402_1005Metric,100n,smt
130.453,-105,-90,top,C9,,,C_0402_1005Metric,100n,smt
144.075,-84.048667,90,top,D1,,,D_SOD-323,D_TVS,smt
127.15,-79.6,0,top,H1,,,MountingHole_2.2mm_M2_ISO7380_Pad,MountingHole_Pad_MP,tht
105.5,-134.5,0,top,H2,,,MountingHole_2.2mm_M2_ISO7380_Pad,MountingHole_Pad_MP,tht
148.8,-134.5,0,top,H3,,,MountingHole_2.2mm_M2_ISO7380_Pad,MountingHole_Pad_MP,tht
121.9,-114.4,-90,top,J1,,,CONN_47272-0001_MOL,47272-0001,smt
132.4,-119.9,90,top,J4,,,CONN_47272-0001_MOL,47272-0001,smt
146.3,-98.266667,0,top,J5,,,HDMI_A_Molex_208658-1001_Horizontal,HDMI_A,smt
150.625,-80.598667,90,top,J6,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt
125.88,-133.3,0,top,J7,,,PinHeader_2x02_P2.54mm_Vertical,Conn_02x02_Odd_Even,tht
102.27,-92.24,0,top,J8,,,PinHeader_2x04_P2.54mm_Vertical,Conn_02x04_Odd_Even,tht
123.77,-91.5,180,top,R1,,,R_0402_1005Metric,10k,smt
131.773,-112,-90,top,R10,,,R_0402_1005Metric,1K5,smt
133.888,-103,180,top,R11,,,R_0402_1005Metric,51,smt
130.978,-103,180,top,R12,,,R_0402_1005Metric,51,smt
135.733,-105,-90,top,R13,,,R_0402_1005Metric,1M,smt
129.133,-105,90,top,R14,,,R_0402_1005Metric,1M,smt
119.887,-108,-90,top,R15,,,R_0603_1608Metric,0,smt
123.847,-108,-90,top,R16,,,R_0603_1608Metric,0,smt
127.15,-123,180,top,R17,,,R_0603_1608Metric,0,smt
127.15,-124.86,180,top,R18,,,R_0603_1608Metric,0,smt
134.413,-108,-90,top,R19,,,R_0603_1608Metric,0,smt
123.847,-112,90,top,R2,,,R_0402_1005Metric,3K3,smt
130.453,-108,-90,top,R20,,,R_0603_1608Metric,0,smt
141.5,-81.848667,0,top,R21,,,R_0402_1005Metric,5K1,smt
141.5,-78.848667,0,top,R22,,,R_0402_1005Metric,5K1,smt
122.527,-112,-90,top,R3,,,R_0402_1005Metric,1K5,smt
120.412,-103,0,top,R4,,,R_0402_1005Metric,51,smt
123.322,-103,0,top,R5,,,R_0402_1005Metric,51,smt
118.567,-105,-90,top,R6,,,R_0402_1005Metric,100K,smt
125.167,-105,90,top,R7,,,R_0402_1005Metric,100K,smt
134.338,-91.5,180,top,R8,,,R_0402_1005Metric,10k,smt
130.453,-112,90,top,R9,,,R_0402_1005Metric,3K3,smt
121.867,-96.83,-90,top,U1,,SOIC-8 Texas Instruments,SOIC-8_3.9x4.9mm_P1.27mm,SN65MLVD200AD,smt
132.433,-96.83,-90,top,U2,,SOIC-8 Texas Instruments,SOIC-8_3.9x4.9mm_P1.27mm,SN65MLVD200AD,smt
114.4,-83.75,-90,top,U3,,,SOT-223-3_TabPin2,AMS1117-3.3,smt
